time	I(V2)	I(V3)	I(V4)	I(V5)	Ib(Q1)	Ib(Q2)	Ib(Q3)	Ib(Q4)	Ic(Q1)	Ic(Q2)	Ic(Q3)	Ic(Q4)	Ie(Q1)	Ie(Q2)	Ie(Q3)	Ie(Q4)	Ix(u1:1)	Ix(u1:2)	Ix(u1:3)	Ix(u2:ANODE)	Ix(u2:CATHODE)	Ix(u2:REF)	Ix(u3:ANODE)	Ix(u3:CATHODE)	Ix(u3:REF)	Ix(u4:ANODE)	Ix(u4:CATHODE)	Ix(u4:REF)	Ix(u5:ANODE)	Ix(u5:CATHODE)	Ix(u5:REF)
0.000000000000000e+000	1.230938e-001	1.230938e-001	1.230938e-001	1.229586e-001	2.501562e-012	2.501562e-012	2.501562e-012	2.701559e-012	-2.502164e-012	-2.502164e-012	-2.502164e-012	-2.702161e-012	6.020057e-016	6.020057e-016	6.020057e-016	6.020105e-016	-4.751858e-005	-1.247431e-001	1.247906e-001	-6.335020e-006	5.000339e-006	1.334637e-006	-6.335020e-006	5.000339e-006	1.334637e-006	-6.335020e-006	5.000339e-006	1.334637e-006	-6.443320e-006	5.000387e-006	1.442889e-006
1.029296875000000e-001	1.229557e-001	1.230889e-001	1.229557e-001	1.229557e-001	2.704489e-012	2.507421e-012	2.704489e-012	2.704489e-012	-2.705091e-012	-2.508023e-012	-2.705091e-012	-2.705091e-012	6.020238e-016	6.020075e-016	6.020238e-016	6.020115e-016	-4.751780e-005	-1.247421e-001	1.247896e-001	-6.444994e-006	5.000519e-006	1.444474e-006	-6.338165e-006	5.000357e-006	1.337808e-006	-6.444994e-006	5.000519e-006	1.444474e-006	-6.444871e-006	5.000396e-006	1.444474e-006
1.180524553571429e-001	1.229453e-001	1.230673e-001	1.229453e-001	1.229453e-001	2.719611e-012	2.539149e-012	2.719611e-012	2.719611e-012	-2.720213e-012	-2.539751e-012	-2.720213e-012	-2.720213e-012	6.020219e-016	6.020135e-016	6.020219e-016	6.020141e-016	-4.751766e-005	-1.247419e-001	1.247894e-001	-6.453160e-006	5.000500e-006	1.452660e-006	-6.355398e-006	5.000416e-006	1.354982e-006	-6.453160e-006	5.000500e-006	1.452660e-006	-6.453083e-006	5.000423e-006	1.452660e-006
1.331752232142857e-001	1.229348e-001	1.230462e-001	1.229348e-001	1.229348e-001	2.734734e-012	2.569964e-012	2.734734e-012	2.734734e-012	-2.735336e-012	-2.570566e-012	-2.735336e-012	-2.735336e-012	6.020204e-016	6.020182e-016	6.020204e-016	6.020163e-016	-4.751752e-005	-1.247417e-001	1.247892e-001	-6.461330e-006	5.000485e-006	1.460845e-006	-6.372123e-006	5.000463e-006	1.371661e-006	-6.461330e-006	5.000485e-006	1.460845e-006	-6.461290e-006	5.000444e-006	1.460845e-006
1.482979910714286e-001	1.229244e-001	1.230258e-001	1.229244e-001	1.229244e-001	2.749856e-012	2.599866e-012	2.749856e-012	2.749856e-012	-2.750458e-012	-2.600468e-012	-2.750458e-012	-2.750458e-012	6.020195e-016	6.020215e-016	6.020195e-016	6.020180e-016	-4.751738e-005	-1.247415e-001	1.247891e-001	-6.469506e-006	5.000475e-006	1.469031e-006	-6.388342e-006	5.000496e-006	1.387846e-006	-6.469506e-006	5.000475e-006	1.469031e-006	-6.469492e-006	5.000461e-006	1.469031e-006
1.634207589285714e-001	1.229140e-001	1.230061e-001	1.229140e-001	1.229140e-001	2.764979e-012	2.628856e-012	2.764979e-012	2.764979e-012	-2.765581e-012	-2.629458e-012	-2.765581e-012	-2.765581e-012	6.020189e-016	6.020236e-016	6.020189e-016	6.020193e-016	-4.751724e-005	-1.247414e-001	1.247889e-001	-6.477686e-006	5.000470e-006	1.477216e-006	-6.404054e-006	5.000517e-006	1.403537e-006	-6.477686e-006	5.000470e-006	1.477216e-006	-6.477690e-006	5.000474e-006	1.477216e-006
1.785435267857143e-001	1.229036e-001	1.229869e-001	1.229036e-001	1.229036e-001	2.780101e-012	2.656933e-012	2.780101e-012	2.780101e-012	-2.780704e-012	-2.657535e-012	-2.780704e-012	-2.780704e-012	6.020189e-016	6.020244e-016	6.020189e-016	6.020201e-016	-4.751711e-005	-1.247412e-001	1.247887e-001	-6.485871e-006	5.000470e-006	1.485401e-006	-6.419259e-006	5.000525e-006	1.418734e-006	-6.485871e-006	5.000470e-006	1.485401e-006	-6.485883e-006	5.000482e-006	1.485401e-006
1.936662946428572e-001	1.228933e-001	1.229684e-001	1.228933e-001	1.228933e-001	2.795224e-012	2.684097e-012	2.795224e-012	2.795224e-012	-2.795826e-012	-2.684699e-012	-2.795826e-012	-2.795826e-012	6.020194e-016	6.020240e-016	6.020194e-016	6.020204e-016	-4.751697e-005	-1.247410e-001	1.247885e-001	-6.494061e-006	5.000475e-006	1.493587e-006	-6.433957e-006	5.000521e-006	1.433437e-006	-6.494061e-006	5.000475e-006	1.493587e-006	-6.494071e-006	5.000485e-006	1.493587e-006
2.087890625000000e-001	1.228829e-001	1.229505e-001	1.228829e-001	1.228829e-001	2.810347e-012	2.710348e-012	2.810347e-012	2.810347e-012	-2.810949e-012	-2.710950e-012	-2.810949e-012	-2.810949e-012	6.020203e-016	6.020222e-016	6.020203e-016	6.020202e-016	-4.751684e-005	-1.247408e-001	1.247884e-001	-6.502256e-006	5.000484e-006	1.501772e-006	-6.448149e-006	5.000503e-006	1.447646e-006	-6.502256e-006	5.000484e-006	1.501772e-006	-6.502255e-006	5.000483e-006	1.501772e-006
2.393136160714286e-001	1.228607e-001	1.229295e-001	1.228607e-001	1.228607e-001	2.842651e-012	2.740872e-012	2.842651e-012	2.842651e-012	-2.843253e-012	-2.741474e-012	-2.843253e-012	-2.843253e-012	6.020215e-016	6.020211e-016	6.020215e-016	6.020215e-016	-4.751660e-005	-1.247405e-001	1.247881e-001	-6.519753e-006	5.000495e-006	1.519257e-006	-6.464660e-006	5.000492e-006	1.464168e-006	-6.519753e-006	5.000495e-006	1.519257e-006	-6.519752e-006	5.000495e-006	1.519257e-006
